tag;temperatura_operacion;temperatura_presion_vapor;npsha;presion_succion;presion_descarga;presion_diferencial;cabezal
03P-02A;136;136;;230;7580;7350;2773
03P-02B;136;136;;230;7580;7350;2773
04P-01A;136;136;;230;7580;7350;2773
04P-01B;136;136;;230;7580;7350;2773
14P-01A;133;134;7.6;565.4;6729.3;6226;681.8
14P-01B;133;134;7.6;565.4;6729.4;6226;681.8
15P-01A;133;134;7.6;565.4;6729.5;6226;681.8
15P-01B;133;134;7.6;565.4;6729.6;6226;681.8
16P-01A;132.77;133.88;7.62;565.37;6729.28;6225.97;681.8
16P-01B;132.77;133.88;7.62;565.37;6729.28;6225.97;681.8
17P-01A;132.77;133.88;7.62;565.37;6729.28;6225.97;681.8
17P-01B;132.77;133.88;7.62;565.37;6729.28;6225.97;681.8
09P-01A;130.56;136.11;5.79;243.38;5414.45;5240.02;572.8
09P-01B;130.56;136.11;5.79;243.38;5414.45;5240.02;572.8
10P-01A;130.56;136.11;5.79;243.38;5414.45;5240.02;572.8
10P-01B;130.56;136.11;5.79;243.38;5414.45;5240.02;572.8
11P-01A;130.56;136.11;5.79;243.38;5414.45;5240.02;572.8
11P-01B;130.56;136.11;5.79;243.38;5414.45;5240.02;572.8
12P-01A;130.56;136.11;5.79;243.38;5414.45;5240.02;572.8
12P-01B;130.56;136.11;5.79;243.38;5414.45;5240.02;572.8
13P-01A;130.56;136.11;5.79;243.38;5414.45;5240.02;572.8
13P-01B;130.56;136.11;5.79;243.38;5414.45;5240.02;572.8