1;Ácido acético;64-19-7
2;Acetileno;74-86-2
3;Mezcla de aire;132259-10-0
4;Amoníaco;7664-41-7
5;Argón;7440-37-1
6;Benceno;71-43-2
7;1,2-butadieno;590-19-2
8;1,3-butadieno;106-99-0
9;Butano;106-97-8
10;1,2-butanodiol;584-03-2
11;1,3-butanodiol;107-88-0
12;1-butanol;71-36-3
13;1-buteno;106-98-9
14;Butilbenceno;104-51-8
15;1-butino;107-00-6
16;Dióxido de carbono;124-38-9
17;Monóxido de carbono;630-08-0
18;Cloro;7782-50-5
19;Cloroetano;75-00-3
20;Cloroformo;67-66-3
21;Clorometano;74-87-3
22;1 decena;872-05-9
23;1-Decino;764-93-2
24;1,1-dicloroetano;75-34-3
25;1,2-dicloroetano;107-06-2
26;Etano;74-84-0
27;Etanol;64-17-5
28;Etileno;74-85-1
29;Etilenglicol;107-21-1
30;Óxido de etileno;75-21-8
31;Formaldehído;50-00-0
32;Heptanal;111-71-7
33;Heptano;142-82-5
34;1 heptanol;111-70-6
35;1 hepteno;592-76-7
36;1-Heptino;628-71-7
37;Hexano;110-54-3
38;1-hexanol;111-27-3
39;1 hexeno;592-41-6
40;1-Hexino;693-02-7
41;Hidrógeno;1333-74-0
42;Cloruro de hidrogeno;7647-01-0
43;Cianuro de hidrógeno;74-90-8
44;Sulfuro de hidrógeno;7783-06-4
45;Metano;74-82-8
46;Metanol;67-56-1
47;3-metil-1,2-butadieno;598-25-4
48;2-metilbutano;78-78-4
49;3-metil-1-butanol;123-51-3
50;2-metil-1-buteno;563-46-2
51;2-metil-2-buteno;513-35-9
52;3-metil-1-butino;598-23-2
53;2-metilpentano;107-83-5
54;2-metilpropano;75-28-5
55;2-metil-2-propanol;75-65-0
56;2-metil propeno;115-11-7
57;Nitrógeno;7727-37-9
58;1-octanol;111-87-5
59;1-octeno;111-66-0
60;1-Octino;629-05-0
61;Oxígeno;7782-44-7
62;1-pentanol;71-41-0
63;1-penteno;109-67-1
64;1-Pentino;627-19-0
65;Propadieno;463-49-0
66;Propano;74-98-6
67;1-propanol;71-23-8
68;Propileno;115-07-1
69;1,2-propilenglicol;57-55-6
70;Estireno;100-42-5
71;Tolueno;108-88-3
72;Cloruro de vinilo;75-01-4
73;Agua;7732-18-5
74; m-xileno;108-38-3
75;o-xileno;95-47-6
76;P-xileno;106-42-3
77;Hidróxido de sodio;1310-73-2
78;Ácido sulfúrico;7664-93-9
79;Urea ;57-13-6
80;Hipoclorito de sodio;7681-52-9
81;Ácido Nítrico;7697-37-2